step,telescope_perplexity,telescope_cross_perplexity,causal_perplexity,performer_model_entropy,observer_model_entropy,entropy_ratio,kl_divergence,performer_total_variation_distance,observer_total_variation_distance,performer_distribution_overlap,observer_distribution_overlap,performer_logits_std,observer_logits_std,shifted1_telescope_perplexity,shifted1_telescope_cross_perplexity,shifted2_telescope_perplexity,shifted2_telescope_cross_perplexity,shifted3_telescope_perplexity,shifted3_telescope_cross_perplexity
1500.0,[10.1796875],[3.568359375],3.6796875,,,,,0.7611256837844849,0.7611256837844849,0.23903796076774597,0.23903796076774597,0.0022182464599609375,0.0022182464599609375,580.5,,inf,,inf,
1600.0,[9.4921875],[3.833984375],4.12109375,,,,,0.8341836929321289,0.8341836929321289,0.16613520681858063,0.16613520681858063,0.0018243789672851562,0.0018243789672851562,328.25,,inf,,inf,
1800.0,[10.9140625],[3.150390625],3.0859375,,,,,0.7116815447807312,0.7116815447807312,0.2885044515132904,0.2885044515132904,0.002422332763671875,0.002422332763671875,436.0,,inf,,inf,
1900.0,[10.6328125],[2.775390625],3.1015625,,,,,0.69482421875,0.69482421875,0.304931640625,0.304931640625,0.002536773681640625,0.002536773681640625,336.25,,inf,,inf,
2100.0,[8.75],[2.841796875],2.755859375,,,,,0.6732456088066101,0.6732456088066101,0.32653507590293884,0.32653507590293884,0.002544403076171875,0.002544403076171875,712.0,,inf,,inf,
2200.0,[9.2421875],[2.8125],3.244140625,,,,,0.7421466112136841,0.7421466112136841,0.2578533887863159,0.2578533887863159,0.0024547576904296875,0.0024547576904296875,531.0,,inf,,inf,
2300.0,[10.0390625],[2.87890625],3.416015625,,,,,0.640625,0.640625,0.35917967557907104,0.35917967557907104,0.0026836395263671875,0.0026836395263671875,52.75,,inf,,inf,
2400.0,[10.2109375],[3.015625],2.791015625,,,,,0.724662184715271,0.724662184715271,0.2753378450870514,0.2753378450870514,0.0023250579833984375,0.0023250579833984375,339.25,,inf,,inf,
2800.0,[10.5390625],[3.330078125],3.537109375,,,,,0.7586805820465088,0.7586805820465088,0.24103009700775146,0.24103009700775146,0.0022716522216796875,0.0022716522216796875,670.0,,inf,,inf,
2900.0,[10.5546875],[2.767578125],2.6796875,,,,,0.6592261791229248,0.6592261791229248,0.3407738208770752,0.3407738208770752,0.0026035308837890625,0.0026035308837890625,257.25,,inf,,inf,
3000.0,[8.7578125],[2.8671875],3.162109375,,,,,0.7253023982048035,0.7253023982048035,0.2744455635547638,0.2744455635547638,0.0024280548095703125,0.0024280548095703125,inf,,inf,,inf,
3200.0,[10.359375],[3.611328125],3.775390625,,,,,0.7956414222717285,0.7956414222717285,0.2043585479259491,0.2043585479259491,0.002109527587890625,0.002109527587890625,477.25,,inf,,inf,
3300.0,[8.4375],[3.84765625],3.3984375,,,,,0.6975446343421936,0.6975446343421936,0.302641361951828,0.302641361951828,0.0023784637451171875,0.0023784637451171875,172.25,,inf,,inf,
