_step,avg_telescope_perplexity,avg_causal_perplexity,training_loss
1000,10.026041666666666,3.537109375,3.4796597957611084
1000,10.026041666666666,3.537109375,3.4796597957611084
2000,9.4921875,3.90576171875,3.4529805183410645
2000,9.4921875,3.90576171875,3.4529805183410645
4000,10.171875,3.2109375,2.1643710136413574
4000,10.171875,3.2109375,2.1643710136413574
5000,10.330078125,3.87841796875,4.416269779205322
5000,10.330078125,3.87841796875,4.416269779205322
6000,9.4609375,4.063151041666667,6.299959182739258
6000,9.4609375,4.063151041666667,6.299959182739258
7000,9.80859375,3.900390625,3.4387753009796143
7000,9.80859375,3.900390625,3.4387753009796143
8000,10.174479166666666,3.1341145833333335,3.2851498126983643
8000,10.174479166666666,3.1341145833333335,3.2851498126983643
9000,9.421875,3.5885416666666665,3.556274175643921
9000,9.421875,3.5885416666666665,3.556274175643921
11000,10.18359375,3.8388671875,5.482766628265381
11000,10.18359375,3.8388671875,5.482766628265381
12000,10.127604166666666,3.7096354166666665,4.22369909286499
12000,10.127604166666666,3.7096354166666665,4.22369909286499
13000,10.151041666666666,3.6022135416666665,2.0105714797973633
13000,10.151041666666666,3.6022135416666665,2.0105714797973633
14000,10.703125,3.701171875,4.047782897949219
14000,10.703125,3.701171875,4.047782897949219
15000,10.403645833333334,3.9069010416666665,3.926278829574585
15000,10.403645833333334,3.9069010416666665,3.926278829574585
16000,9.9375,3.794921875,4.416367530822754
16000,9.9375,3.794921875,4.416367530822754
17000,9.873046875,3.5947265625,4.473988056182861
17000,9.873046875,3.5947265625,4.473988056182861
18000,9.7265625,3.515625,2.4593276977539062
18000,9.7265625,3.515625,2.4593276977539062
19000,10.35546875,3.0048828125,3.9679980278015137
19000,10.35546875,3.0048828125,3.9679980278015137
20000,9.984375,4.3671875,2.3738651275634766
20000,9.984375,4.3671875,2.3738651275634766
21000,10.3359375,3.9228515625,4.265333652496338
21000,10.3359375,3.9228515625,4.265333652496338
22000,10.0625,3.3525390625,3.1276187896728516
22000,10.0625,3.3525390625,3.1276187896728516
23000,10.390625,3.6748046875,2.3730006217956543
23000,10.390625,3.6748046875,2.3730006217956543
24000,9.919270833333334,4.418619791666667,1.9898728132247925
24000,9.919270833333334,4.418619791666667,1.9898728132247925
25000,10.52734375,3.0087890625,1.564468264579773
25000,10.52734375,3.0087890625,1.564468264579773
26000,8.4609375,3.7890625,1.9385730028152466
26000,8.4609375,3.7890625,1.9385730028152466
27000,10.236328125,3.939453125,4.271293640136719
27000,10.236328125,3.939453125,4.271293640136719
28000,9.443359375,4.10400390625,1.093861699104309
28000,9.443359375,4.10400390625,1.093861699104309
29000,9.299479166666666,4.227864583333333,4.674462795257568
29000,9.299479166666666,4.227864583333333,4.674462795257568
30000,9.791666666666666,3.6927083333333335,5.703299045562744
30000,9.791666666666666,3.6927083333333335,5.703299045562744
31000,9.0859375,3.529296875,1.6480975151062012
31000,9.0859375,3.529296875,1.6480975151062012
32000,10.033203125,3.931640625,3.7203116416931152
32000,10.033203125,3.931640625,3.7203116416931152
33000,9.984375,3.8525390625,3.0170629024505615
33000,9.984375,3.8525390625,3.0170629024505615
34000,8.9140625,3.97998046875,1.3657726049423218
34000,8.9140625,3.97998046875,1.3657726049423218
35000,9.298828125,4.37548828125,1.404343605041504
35000,9.298828125,4.37548828125,1.404343605041504
36000,10.786458333333334,3.916015625,2.7894320487976074
36000,10.786458333333334,3.916015625,2.7894320487976074
37000,9.7265625,3.93115234375,2.5070884227752686
37000,9.7265625,3.93115234375,2.5070884227752686
38000,9.903645833333334,3.78515625,1.7401069402694702
38000,9.903645833333334,3.78515625,1.7401069402694702
39000,9.3046875,4.3447265625,3.0191807746887207
39000,9.3046875,4.3447265625,3.0191807746887207
40000,9.1796875,3.7841796875,1.811571478843689
40000,9.1796875,3.7841796875,1.811571478843689
41000,10.278645833333334,3.4791666666666665,2.3973591327667236
41000,10.278645833333334,3.4791666666666665,2.3973591327667236
42000,10.1953125,3.7994791666666665,2.661653518676758
