method,mean_telescope_perplexity_divided_by_cross_perplexity,std_telescope_perplexity_divided_by_cross_perplexity,mean_perplexity,std_perplexity,mean_cross_perplexity,std_cross_perplexity,mean_entropy_ratio,mean_kl_divergence,mean_performer_distribution_overlap
greedy,7.084945201873779,0.0,16.453125,0.0,2.322265625,0.0,,,0.5778846144676208
beam_search_2,6.935503244400024,0.005200582442539455,16.6953125,0.00782032423831549,2.4072265625,0.002932621589368309,,,0.5993255078792572
beam_search_5,7.852554130554199,0.009132320036760082,17.640625,0.017133471969319206,2.246484375,0.0025937081237414365,,,0.6323839664459229
temperature_0.7,6.730308162689209,0.7938531091734873,16.28684375,0.4776521491756965,2.4468984375,0.23871641138858837,,,0.5517228966355324
temperature_1.0,5.889006299495697,0.695625171800652,15.642125,0.6175418025244164,2.684962890625,0.2620872835821135,,,0.47941718888282775
temperature_1.5,3.02742627286911,0.37740497457447814,11.64553125,0.9858824934476017,3.86787890625,0.2181630503738074,,,0.19529395684599876
nucleus_0.9,5.860800916671753,0.6953181138209107,15.641265625,0.5901535690628136,2.697919921875,0.2585162091406105,,,0.4796504669189453
nucleus_0.7,6.719405902862549,0.999041741148503,16.2918125,0.4901695449088379,2.459806640625,0.2521988203788203,,,0.549086667239666
